CID,survey,zHD,rvar_gal_cl,rvar_gal_tot,rvar_cl_cl,rvar_cl_tot,var_zp
1599030,des:E,0.36774,6.581547021287929e-10,6.719524832983075e-09,1.2532258209605354e-08,1.2728689850582207e-08,8.424701415959009e-09
1770386,des:E,0.36795,1.685566931007166e-10,4.591670716751477e-09,6.937576856177013e-09,3.296212184650141e-09,8.440410787781097e-09
1904092,des:E,0.36798,1.1395567296644257e-10,9.726953117969121e-10,8.014819448464674e-06,1.9720121615713886e-05,8.442656178272532e-09
1249245,des:E,0.36834,6.145217526417012e-09,9.960806814044436e-08,3.158382896269818e-05,4.19736998710285e-05,8.469624157260144e-09
1343533,des:E,0.36843,1.1068717725710603e-06,2.1125457775325695e-06,1.798331845149021e-10,2.363785515703381e-10,8.476372871166728e-09
1283936,des:E,0.36862,1.6965952598123263e-10,2.654346004484328e-09,4.9324771759580016e-06,9.565185392314738e-06,8.490628982234509e-09
1291957,des:E,0.37143,4.5371340762765384e-08,1.6146047939777094e-07,6.055063847827832e-11,3.769532143477136e-11,8.702867942268965e-09
1291511,des:E,0.37228,3.224376939112115e-07,1.642668307300644e-06,4.18285832784034e-09,8.474599670077393e-09,8.767584470406996e-09
1318126,des:E,0.37298,5.93798127679113e-09,1.2544848636839856e-08,9.318804347211991e-08,1.363108076006083e-07,8.821060441862515e-09
1879532,des:E,0.37719,2.9447957781112757e-07,3.577862669438316e-07,6.051788770491881e-07,5.409433128686845e-07,9.14658962125456e-09
1289913,des:E,0.38495,4.7241308834905694e-07,2.065515433874754e-06,1.2820643385633818e-09,2.2488558027228324e-09,9.762913553638843e-09
1249090,des:E,0.3862,4.870685427949046e-06,5.581665093072327e-06,4.7716500788614646e-09,4.561102911137542e-09,9.864071571850812e-09
1338170,des:E,0.38676,2.0119107982481883e-07,4.2767978119112274e-07,1.4849306717192411e-07,1.5219873468375256e-07,9.90955947292215e-09
1257022,des:E,0.38683,3.142287686164802e-07,7.566842474490009e-07,3.3959400494631145e-09,4.1973096047700716e-09,9.915252818195091e-09
1435067,des:E,0.39136,1.9486440444389013e-10,5.636911868543651e-09,4.179581714386937e-08,2.8548456394148407e-08,1.0287170200486598e-08
1773237,des:E,0.39186,4.2196713993022636e-07,9.888640606079048e-07,8.062688573482267e-08,4.1378809386482166e-08,1.032864028650536e-08
1331130,des:E,0.39189,9.332873230088841e-09,2.8471986443433494e-08,1.3365524488320284e-05,1.1262296292808813e-05,1.0331131144421113e-08
1618036,des:E,0.39216,3.3035409361435223e-09,2.966950937104032e-08,2.1457438840952484e-09,1.5267584822644492e-09,1.035356237969033e-08
1315910,des:E,0.39365,1.3302859342125193e-07,2.755928344228392e-07,4.627282401383004e-08,5.2274397972256074e-08,1.047778708784638e-08
1431064,des:E,0.39494,6.631538560969966e-08,2.28925033357696e-07,5.232686518032545e-09,3.3971369378719266e-09,1.0585935659743865e-08
1336002,des:E,0.39496,5.572143464418672e-07,6.030510673310133e-07,2.2767586467882714e-09,2.5236711272701085e-09,1.058761675299414e-08
1291783,des:E,0.39821,1.2681589814480737e-08,2.8281933611384834e-07,5.337927508807698e-07,1.0651923142484217e-06,1.0862567497053386e-08
1265832,des:E,0.39876,1.1748684586459875e-07,2.2763852981333282e-07,8.575435632351921e-09,3.380583542800557e-08,1.0909446318340739e-08
1300517,des:E,0.40031,2.005607655188423e-07,3.307005772084851e-07,2.1203344042686753e-08,5.3120276939809555e-08,1.1042102423991366e-08
1275873,des:E,0.40188,6.162348612764536e-10,3.6946206471419797e-09,1.0092981301594264e-08,4.786577902921761e-09,1.1177287469843907e-08
1408024,des:E,0.40228,6.556048325024047e-08,1.8604921223478861e-07,5.2534003125920993e-08,2.741419896217338e-08,1.1211860989575839e-08
1253131,des:E,0.40349,4.580397554591266e-08,1.321744459425132e-07,3.977714671102413e-06,1.1189262516849029e-05,1.131677090755329e-08
1342778,des:E,0.40457,1.3360267483304308e-08,1.1341756463985312e-07,4.929163072708389e-07,2.483988454573571e-07,1.1410822140444579e-08
1537020,des:E,0.40597,3.711703161913921e-07,4.3950815959657943e-07,1.1282927265177142e-07,5.834439744906896e-07,1.1533319673400934e-08
1318266,des:E,0.40626,7.92416806591899e-08,5.524489178965226e-07,1.2416197273302507e-06,1.1006293522626934e-06,1.1558775930600163e-08
1341370,des:E,0.409,3.90735734656871e-10,5.580548375053203e-09,8.402759722036981e-07,2.057109069977779e-06,1.1800678809169436e-08
1337971,des:E,0.41066,2.0331960457840902e-08,2.4786729374044463e-07,2.621622969404828e-07,1.9814430313277042e-07,1.1948451706418495e-08
1260949,des:E,0.41568,4.2975261319410314e-08,1.2188384980216497e-07,1.0306174792268319e-07,1.8394100979333325e-07,1.2400925932998188e-08
1306578,des:E,0.42044,3.722396056729543e-08,3.4292263672487596e-08,5.720023439046546e-08,7.906755365135665e-08,1.2837732103495377e-08
1876308,des:E,0.42147,1.7914176337622263e-09,1.5017254877333678e-08,9.24347342494391e-09,1.1567900112523018e-08,1.293324606881741e-08
1306991,des:E,0.42199,1.5917606507792984e-08,1.823862957825245e-07,2.3932176009106622e-08,2.0522482488811985e-08,1.298160118445494e-08
1431072,des:E,0.42267,9.965111622057382e-08,7.007854971347652e-07,2.1397015561343668e-08,1.561156150123199e-08,1.3044970938561886e-08
1516019,des:E,0.42436,0.0001858829134147418,0.0003184309833062558,1.3211451340059446e-07,7.465618063055154e-08,1.3203131659491322e-08
1251225,des:E,0.43172,6.161913598899678e-09,1.2543791426517195e-08,1.8400913247368684e-07,4.1684866083197946e-07,1.3849482810123775e-08
1922297,des:E,0.43225,5.4283242347888365e-06,1.0943002933750673e-05,1.0798331221570827e-08,6.822938119796905e-09,1.3896255704540093e-08
1883111,des:E,0.43278,1.5195258827849792e-07,1.3828647507361629e-06,2.690571113522171e-08,2.0595331894034253e-08,1.3943107447288573e-08
1908380,des:E,0.43668,2.267089091425992e-08,1.511844107813662e-07,2.3997126415274114e-07,2.9453062964328053e-07,1.4290290372095323e-08
