CID,sample,HOST_RA,HOST_DEC,zHD,HOST_LOGMASS,MU,MUERR,PROBIA,clipped,cluster_targeted
SN2018eov,CNIa02,243.822583,-61.131539,0.016653027293847877,11.0,34.00548716361029,0.28105373159597347,1.0,False,False
SN2018eqq,CNIa02,46.729833,41.509139,0.015371321680381467,11.0,34.26396554800117,0.279935454034368,1.0,False,False
SN2018feb,CNIa02,257.5465,21.649036,0.014739983146546232,11.0,34.1846264400823,0.2860574502551197,1.0,False,False
SN2018fnq,CNIa02,303.125,-44.109761,0.01853007321791944,11.0,34.824243253806145,0.26568349043989686,1.0,False,False
SN2018fop,CNIa02,18.825458,-6.859039,0.020159275748292904,11.0,34.64397975986333,0.2653568133795014,1.0,False,False
SN2018fuk,CNIa02,86.284,-79.396533,0.017769089678455696,11.0,34.497844940740045,0.26916876096417647,1.0,False,False
SN2018gl,CNIa02,149.526042,10.3594,0.019051991138158142,11.0,34.786001194308334,0.2674861917519802,1.0,False,False
SN2018hib,CNIa02,44.088625,-32.185769,0.01579655708560601,11.0,34.18406725011815,0.27927526269561675,1.0,False,False
SN2018hkq,CNIa02,151.449746,-17.434361,0.017816662457563748,11.0,34.65631353513485,0.29429312598084406,1.0,False,False
SN2018hme,CNIa02,143.914292,-17.386361,0.015241146145186013,11.0,34.0612537094892,0.28715444220317626,1.0,False,False
SN2018hsa,CNIa02,318.754292,-47.210389,0.015820513165185845,11.0,34.466878711995875,0.28092198106402305,1.0,False,False
SN2018iuu,CNIa02,171.838417,59.630061,0.017556782596491294,11.0,34.618631766220766,0.2710837880882269,1.0,False,False
SN2018jeo,CNIa02,136.153812,-19.785983,0.01969199235800967,11.0,34.66572616197416,0.26673902067124927,1.0,False,False
SN2018jjd,CNIa02,66.0835417,-31.9874389,0.02546090027581638,11.0,35.18729095793057,0.258800089899686,1.0,False,False
SN2018jmo,CNIa02,102.835225,45.644603,0.021158263109376962,11.0,35.01395963548264,0.2623123722894883,1.0,False,False
SN2018jov,CNIa02,120.029787,58.709753,0.019517536965153903,11.0,34.98854536057632,0.2656972444808577,1.0,False,False
SN2018oh,CNIa02,136.66475,19.338269,0.011931734705134867,11.0,33.53503913401485,0.3068277951058125,1.0,False,False
SN2018vw,CNIa02,52.31937,-23.97864,0.021565297158564478,11.0,34.89082588176371,0.2643700330510865,1.0,False,False
SN2018zz,CNIa02,210.91275,-33.9785,0.014705025654493165,11.0,33.562365015786085,0.2815738249473569,1.0,False,False
SN2019hxc,CNIa02,173.8451792,-21.7152528,0.013364539307352707,11.0,35.121651192677724,0.2950932860589501,1.0,True,False
SN2019khf,CNIa02,175.364583,-38.634239,0.014816681805303933,11.0,34.1295665563963,0.2858258913079111,1.0,False,False
SN2019knt,CNIa02,158.959625,-34.272889,0.013960616033251494,11.0,34.07405580821375,0.29318702107328803,1.0,False,False
SN2019swh,CNIa02,110.538,-29.226561,0.010746925010686414,11.0,33.51896289560488,0.3319348276643635,1.0,False,False
SN2004dt,CSP,30.553208,-0.097639,0.01877781947251167,11.0,34.13446789967132,0.1763017944842573,1.0,False,False
SN2004ef,CSP,340.54175208333334,19.994484944444444,0.02975380098338165,11.0,35.5755488628947,0.14792566293625584,1.0,False,False
SN2004eo,CSP,308.225792,9.928528,0.014729747946407912,11.17,33.96613079866972,0.19748175820003416,1.0,False,False
SN2004ey,CSP,327.282542,0.444222,0.014632545934006425,11.0,34.099625013908145,0.20589761601670292,1.0,False,False
